iso3,country,year,life_expectancy,source_indicator,source_provenance
LMY,Low & middle income,2022,71.6849259477066,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LMY,Low & middle income,2021,69.6714349467729,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LMY,Low & middle income,2020,70.7483566757416,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
LMY,Low & middle income,2019,71.3694923345361,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2022,71.6917293154863,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2021,69.7113193479505,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2020,69.9110789555644,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2019,71.2438695042576,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2022,71.0055315443397,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2021,68.9280214782652,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2020,69.050634286622,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2019,70.417484585256,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2022,70.965432550888,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2021,68.8931032282321,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2020,69.0090964026373,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2019,70.3800917806817,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MIC,Middle income,2022,72.5172020330295,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MIC,Middle income,2021,70.3953530328654,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
