country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal,variable
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,,,1,physicians_per_1000
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
Middle income,MIC,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
Middle income,MIC,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
Middle income,MIC,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
Middle income,MIC,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,,,1,physicians_per_1000
Middle income,MIC,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
North America,NAC,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
North America,NAC,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
North America,NAC,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
North America,NAC,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,,,1,physicians_per_1000
North America,NAC,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
Not classified,,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
Not classified,,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
Not classified,,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
Not classified,,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,,,1,physicians_per_1000
