iso3,country,observed_shock_burden,oof_predicted_ridge_mean_over_repeats,oof_predicted_ridge_repeat1,pi80_low,pi80_high,pi95_low,pi95_high,covered_80,covered_95
MEX,Mexico,5406.9375,2831.542668422334,2772.881829412829,597.5300276895086,4948.23363113615,-825.4936774815997,6371.257336307258,False,True
BHS,"Bahamas, The",2630.4177,3297.947978097546,2981.0531113982047,793.6862571791216,5168.419965617288,-760.2073198281946,6722.313542624604,True,True
BTN,Bhutan,302.12527,2191.5254041106737,2544.84023761335,357.4733833942669,4732.207091832433,-1196.4201936130494,6286.100668839749,False,True
JAM,Jamaica,2040.6863,3171.4842652320467,3358.1697807496976,1130.897177861932,5585.442383637463,-283.3702018148292,6999.709763314224,True,True
LBN,Lebanon,2354.6365,1776.2099217920718,1709.2465360730432,-518.0260668147223,3936.519138960809,-1932.2934464914836,5350.78651863757,True,True
PRY,Paraguay,4178.656,3079.110729988434,3235.721564489811,990.5934350030429,5480.849693976579,-305.0439331630623,6776.487062142684,True,True
FJI,Fiji,2112.3386,3830.5234236043225,3297.1941759112415,1121.842374187921,5472.5459776345615,-301.1813309831873,6895.56968280567,True,True
PER,Peru,5901.3433,3472.105272782056,3456.0802216308157,1268.7133674117326,5643.447075849899,-285.1802095955836,7197.340652857215,False,True
CPV,Cabo Verde,1312.6262,2741.2781008019447,2673.71996962173,559.9670320590999,4787.472907184359,-799.1710016761617,6146.6109409196215,True,True
MNG,Mongolia,211.21863,4678.499042760459,4376.105587083572,2130.9774575968036,6621.233716570339,835.3400894306983,7916.8710847364455,False,False
SUR,Suriname,3481.618,4263.0708619153465,3794.7752483175345,1619.423446594214,5970.1270500408555,196.39974142310575,7393.150755211964,True,True
EGY,"Egypt, Arab Rep.",2995.015,2680.917741038589,2922.3298960322372,808.5769584696072,5036.082833594867,-550.5610752656544,6395.220867330128,True,True
AZE,Azerbaijan,3777.4768,4085.5771677018333,4133.512519384783,1906.239916497018,6360.785122272549,491.97253682025666,7775.052501949311,True,True
UKR,Ukraine,4533.1055,6295.953310611259,6229.884697700149,4116.131760137519,8343.63763526278,2756.993726402258,9702.775668998042,True,True
DOM,Dominican Republic,907.20123,3477.5842469590616,3499.387492489628,1254.25936300286,5744.515621976396,-41.378005163245234,7040.152990142502,False,True
BOL,Bolivia,5224.8447,2868.372804800824,3323.2817442584783,1135.9148900393952,5510.648598477561,-417.978686967921,7064.542175484878,True,True
GTM,Guatemala,2760.5828,3251.6845527255746,3098.0405526338855,922.688750910565,5273.3923543572055,-500.3349542605433,6696.416059528314,True,True
PHL,Philippines,2245.3413,2804.1993633911575,3171.2245345967453,983.8576803776623,5358.591388815828,-570.035896629654,6912.484965823145,True,True
ZAF,South Africa,4671.983,4442.250343471451,4215.397553569872,2028.0306993507888,6402.7644077889545,474.1371223434726,7956.657984796271,True,True
NAM,Namibia,1225.8562,4841.726272350562,4881.798684874916,2768.045747312286,6995.551622437546,1408.9077135770244,8354.689656172808,False,False
