scheme,iso3,flip_rate,modal_profile,country,conversion_profile,modal_equals_baseline
dirichlet_flat,SMR,0.0,uncertain / data-limited systems,San Marino,uncertain / data-limited systems,True
dirichlet_flat,SRB,0.0,uncertain / data-limited systems,Serbia,uncertain / data-limited systems,True
dirichlet_flat,SUR,0.030000000000000027,adaptive over-performers,Suriname,adaptive over-performers,True
dirichlet_flat,SVK,0.006000000000000005,capacity under-realizers,Slovak Republic,capacity under-realizers,True
dirichlet_flat,SVN,0.0020000000000000018,capacity under-realizers,Slovenia,capacity under-realizers,True
dirichlet_flat,SWE,0.01200000000000001,effective converters,Sweden,effective converters,True
dirichlet_flat,SYC,0.0,uncertain / data-limited systems,Seychelles,uncertain / data-limited systems,True
dirichlet_flat,THA,0.0,uncertain / data-limited systems,Thailand,uncertain / data-limited systems,True
dirichlet_flat,TJK,0.09399999999999997,adaptive over-performers,Tajikistan,adaptive over-performers,True
dirichlet_flat,TUN,0.30800000000000005,structurally vulnerable systems,Tunisia,structurally vulnerable systems,True
dirichlet_flat,TUR,0.0,uncertain / data-limited systems,Turkiye,uncertain / data-limited systems,True
dirichlet_flat,UKR,0.0,uncertain / data-limited systems,Ukraine,uncertain / data-limited systems,True
dirichlet_flat,URY,0.07599999999999996,effective converters,Uruguay,effective converters,True
dirichlet_flat,USA,0.10999999999999999,capacity under-realizers,United States,capacity under-realizers,True
dirichlet_flat,UZB,0.22999999999999998,adaptive over-performers,Uzbekistan,adaptive over-performers,True
dirichlet_flat,VCT,0.242,adaptive over-performers,St. Vincent and the Grenadines,adaptive over-performers,True
dirichlet_flat,ZAF,0.0,uncertain / data-limited systems,South Africa,uncertain / data-limited systems,True
dirichlet_moderate,ALB,0.12,structurally vulnerable systems,Albania,structurally vulnerable systems,True
dirichlet_moderate,AND,0.0,effective converters,Andorra,effective converters,True
dirichlet_moderate,ARE,0.07399999999999995,capacity under-realizers,United Arab Emirates,capacity under-realizers,True
dirichlet_moderate,ARG,0.052000000000000046,capacity under-realizers,Argentina,capacity under-realizers,True
dirichlet_moderate,ARM,0.0,uncertain / data-limited systems,Armenia,uncertain / data-limited systems,True
dirichlet_moderate,ATG,0.0,uncertain / data-limited systems,Antigua and Barbuda,uncertain / data-limited systems,True
dirichlet_moderate,AUS,0.0,effective converters,Australia,effective converters,True
dirichlet_moderate,AUT,0.008000000000000007,capacity under-realizers,Austria,capacity under-realizers,True
dirichlet_moderate,AZE,0.06399999999999995,adaptive over-performers,Azerbaijan,adaptive over-performers,True
dirichlet_moderate,BEL,0.008000000000000007,effective converters,Belgium,effective converters,True
dirichlet_moderate,BGR,0.0,uncertain / data-limited systems,Bulgaria,uncertain / data-limited systems,True
dirichlet_moderate,BHS,0.04800000000000004,adaptive over-performers,"Bahamas, The",adaptive over-performers,True
dirichlet_moderate,BIH,0.128,structurally vulnerable systems,Bosnia and Herzegovina,structurally vulnerable systems,True
dirichlet_moderate,BLR,0.03200000000000003,capacity under-realizers,Belarus,capacity under-realizers,True
dirichlet_moderate,BLZ,0.0,uncertain / data-limited systems,Belize,uncertain / data-limited systems,True
dirichlet_moderate,BOL,0.0,structurally vulnerable systems,Bolivia,structurally vulnerable systems,True
dirichlet_moderate,BRA,0.31799999999999995,structurally vulnerable systems,Brazil,structurally vulnerable systems,True
dirichlet_moderate,BRB,0.028000000000000025,adaptive over-performers,Barbados,adaptive over-performers,True
dirichlet_moderate,BRN,0.0,uncertain / data-limited systems,Brunei Darussalam,uncertain / data-limited systems,True
dirichlet_moderate,BTN,0.0,uncertain / data-limited systems,Bhutan,uncertain / data-limited systems,True
dirichlet_moderate,CAN,0.006000000000000005,effective converters,Canada,effective converters,True
dirichlet_moderate,CHE,0.018000000000000016,effective converters,Switzerland,effective converters,True
dirichlet_moderate,CHL,0.486,capacity under-realizers,Chile,capacity under-realizers,True
dirichlet_moderate,COL,0.254,capacity under-realizers,Colombia,capacity under-realizers,True
dirichlet_moderate,CPV,0.006000000000000005,adaptive over-performers,Cabo Verde,adaptive over-performers,True
dirichlet_moderate,CRI,0.0,uncertain / data-limited systems,Costa Rica,uncertain / data-limited systems,True
dirichlet_moderate,CYP,0.33799999999999997,adaptive over-performers,Cyprus,adaptive over-performers,True
dirichlet_moderate,CZE,0.0,capacity under-realizers,Czechia,capacity under-realizers,True
dirichlet_moderate,DEU,0.0020000000000000018,effective converters,Germany,effective converters,True
dirichlet_moderate,DNK,0.0,effective converters,Denmark,effective converters,True
dirichlet_moderate,DOM,0.0,adaptive over-performers,Dominican Republic,adaptive over-performers,True
dirichlet_moderate,DZA,0.518,adaptive over-performers,Algeria,structurally vulnerable systems,False
dirichlet_moderate,ECU,0.06599999999999995,structurally vulnerable systems,Ecuador,structurally vulnerable systems,True
dirichlet_moderate,EGY,0.138,structurally vulnerable systems,"Egypt, Arab Rep.",structurally vulnerable systems,True
dirichlet_moderate,ESP,0.006000000000000005,capacity under-realizers,Spain,capacity under-realizers,True
dirichlet_moderate,EST,0.05800000000000005,capacity under-realizers,Estonia,capacity under-realizers,True
