model,repeat,fold,n_train,n_test,rmse,mae
linear,18,1,85,21,1857.1937090585686,1534.010371764021
linear,18,2,85,21,1382.618873795323,1064.3741967199696
linear,18,3,85,21,2447.040454811799,2110.36569950153
linear,18,4,85,21,1943.6179511710423,1458.2414808013875
linear,19,0,84,22,1660.7363617986625,1383.680046192847
linear,19,1,85,21,2138.049186676456,1649.5931143449857
linear,19,2,85,21,2126.399069311973,1682.1780838171358
linear,19,3,85,21,2003.8740718649972,1713.4193751035166
linear,19,4,85,21,1422.9433702057077,1160.623989259287
ridge,0,0,84,22,1640.926185057208,1459.8808636328395
ridge,0,1,85,21,1892.8084298912443,1553.1896724352112
ridge,0,2,85,21,2034.90276003206,1630.7606676261996
ridge,0,3,85,21,1625.4766383629224,1161.656945288925
ridge,0,4,85,21,1699.3399396874074,1253.7979409184902
ridge,1,0,84,22,1378.293959233625,895.8546051331763
ridge,1,1,85,21,1906.9658340873718,1670.8478584966167
ridge,1,2,85,21,1926.010488423192,1396.570870862729
ridge,1,3,85,21,1765.1002312101873,1480.6110778146663
ridge,1,4,85,21,1981.2690658661543,1497.453942546889
ridge,2,0,84,22,1929.5362606606436,1575.1224786483838
ridge,2,1,85,21,1594.992558204075,1271.9762143858125
ridge,2,2,85,21,2070.7542837842893,1454.5254276308171
ridge,2,3,85,21,1283.0803021987917,1099.5664129489437
ridge,2,4,85,21,1918.1997883580575,1570.9636527553314
ridge,3,0,84,22,2429.564513664273,1824.7407191046152
ridge,3,1,85,21,1813.579548684666,1505.3614471671451
ridge,3,2,85,21,1314.392923773909,1139.8321773172909
ridge,3,3,85,21,1808.631753468379,1442.759548164478
ridge,3,4,85,21,1404.6261939246133,1149.0324238191145
ridge,4,0,84,22,1433.4129196989113,1135.6180867610647
ridge,4,1,85,21,1649.0496745382961,1405.9392168912932
ridge,4,2,85,21,2284.67040486796,1872.461314977224
ridge,4,3,85,21,2287.9346038666977,1776.1930207811045
ridge,4,4,85,21,1149.7834727110949,958.2190915940777
ridge,5,0,84,22,1412.4430049852504,1074.1691631498688
ridge,5,1,85,21,2180.9539606867147,1627.8602979157479
ridge,5,2,85,21,2292.0482734770717,1958.1704816058107
ridge,5,3,85,21,1913.5824203946227,1634.639491537296
ridge,5,4,85,21,1174.9774519237562,975.8086412165957
ridge,6,0,84,22,1698.495597884621,1445.3319920093359
ridge,6,1,85,21,1775.1200516563067,1332.3035491919193
ridge,6,2,85,21,1547.6952593289782,1258.375822399495
ridge,6,3,85,21,1696.0187219310844,1281.9418407606438
ridge,6,4,85,21,2149.5093744003225,1727.630160596426
ridge,7,0,84,22,1731.9779064508527,1333.8876831154928
ridge,7,1,85,21,1646.2652072947776,1382.0496901930098
ridge,7,2,85,21,2417.745769466493,1796.6025109291838
ridge,7,3,85,21,1346.231276725683,1130.7100671861403
ridge,7,4,85,21,1871.5002110817252,1473.3931096825315
ridge,8,0,84,22,2342.257545627196,1923.1856871320995
ridge,8,1,85,21,1667.5061978054935,1250.0525875652752
ridge,8,2,85,21,1390.5009255143375,1148.8478799558823
ridge,8,3,85,21,1683.8122952122396,1396.0688338199893
ridge,8,4,85,21,1687.0938703344375,1334.7536651006271
ridge,9,0,84,22,2204.3247050003874,1774.7344665459088
ridge,9,1,85,21,1390.5881419240761,1145.5432574357887
ridge,9,2,85,21,1739.8249242119707,1425.04041184473
ridge,9,3,85,21,1671.8104973224938,1240.185994884978
ridge,9,4,85,21,1626.8530896974437,1244.2937472884848
ridge,10,0,84,22,2212.604341179834,1601.5499775824262
ridge,10,1,85,21,1344.4105709633957,1110.4629286797901
ridge,10,2,85,21,1761.4659312818924,1413.1689483979205
ridge,10,3,85,21,1979.575232155752,1558.1039065498026
ridge,10,4,85,21,1905.0368757177228,1523.4592127488609
ridge,11,0,84,22,1620.4071752614502,1230.0330584157862
ridge,11,1,85,21,1736.7268508938532,1353.494141182378
ridge,11,2,85,21,2242.482269616237,1717.1633778814708
ridge,11,3,85,21,1609.7659278060564,1327.7224025584223
ridge,11,4,85,21,1346.02572514559,1083.480896832246
ridge,12,0,84,22,1598.4466967348073,1308.0389282292724
ridge,12,1,85,21,1891.8586979044842,1369.8347788633666
ridge,12,2,85,21,2188.927139938173,1830.5255260278618
ridge,12,3,85,21,1209.454981907599,1035.1660270839802
ridge,12,4,85,21,1528.6467080434588,1265.2334696574485
ridge,13,0,84,22,1624.3325961147464,1213.0927450505508
ridge,13,1,85,21,1841.7743459487158,1412.2192442466371
ridge,13,2,85,21,1690.5772843038108,1508.5784659876347
ridge,13,3,85,21,1504.440952499251,1211.981089894339
ridge,13,4,85,21,1966.185999493719,1375.2509356335713
ridge,14,0,84,22,2111.8376065032694,1640.6393335474138
ridge,14,1,85,21,1640.9344918425911,1388.3483045918365
ridge,14,2,85,21,2065.7964775842643,1622.352755221163
ridge,14,3,85,21,1428.2044093809432,1159.5825132054383
ridge,14,4,85,21,1562.4193645592256,1274.0388074870757
ridge,15,0,84,22,1802.001791506762,1431.167317594372
ridge,15,1,85,21,1715.6970018308818,1357.934413699181
ridge,15,2,85,21,1179.1104572416941,949.9912537648204
ridge,15,3,85,21,1853.154056112513,1533.0667875074523
ridge,15,4,85,21,2201.263012614268,1685.266864915678
ridge,16,0,84,22,1714.451589275157,1298.8541560758886
ridge,16,1,85,21,2265.7865366052797,1801.112774864019
ridge,16,2,85,21,1792.5253050533713,1456.6931046445206
ridge,16,3,85,21,1469.9725400544987,1175.791501698089
ridge,16,4,85,21,1530.342274359819,1180.4336700026868
ridge,17,0,84,22,1930.0630396860174,1521.368654499107
ridge,17,1,85,21,1712.8977904669107,1467.610574979946
ridge,17,2,85,21,2041.757439294823,1585.1265968755263
ridge,17,3,85,21,1308.866706676591,1098.9785158897246
ridge,17,4,85,21,1677.774713855196,1136.3241022501143
ridge,18,0,84,22,2043.270634499754,1590.1410517291158
ridge,18,1,85,21,1468.9987126420517,1153.1478009493273
ridge,18,2,85,21,1386.4345671669528,1058.2876275404165
ridge,18,3,85,21,2315.0215874416604,1893.2260315948772
ridge,18,4,85,21,1617.3896314072956,1282.0718587476792
ridge,19,0,84,22,1717.1470811736424,1428.74434394571
ridge,19,1,85,21,1933.2865366652438,1498.2452011353464
ridge,19,2,85,21,2084.544410474437,1539.3911320096831
ridge,19,3,85,21,1476.7284395801264,1190.130254375547
ridge,19,4,85,21,1589.4230353722405,1261.2657291951216
huber,0,0,84,22,1738.4478814826684,1473.5147538770448
huber,0,1,85,21,1870.6163296021787,1545.3229669948812
huber,0,2,85,21,2003.0628415429412,1590.7363045397321
huber,0,3,85,21,1639.7972018520488,1118.2283499859689
huber,0,4,85,21,1876.8819106715682,1395.412251408779
