iso3,country,model_version,observed_shock_burden,predicted_shock_burden,residual_observed_minus_expected,n_model_sample,n_candidate_validation_countries,missing_count_due_to_model_covariates,missing_rate_due_to_model_covariates,cv_rmse,prediction_interval_low,prediction_interval_high
HRV,Croatia,linear,5616.296,4181.2001259959525,1435.0958740040478,106,108,2,0.01851851851851849,1762.1407668753022,,
AND,Andorra,linear,1773.4039,2495.51461638547,-722.1107163854701,106,108,2,0.01851851851851849,1762.1407668753022,,
ITA,Italy,linear,4042.4766,3985.3661349447198,57.1104650552802,106,108,2,0.01851851851851849,1762.1407668753022,,
URY,Uruguay,linear,2126.0981,2545.4915419090917,-419.3934419090915,106,108,2,0.01851851851851849,1762.1407668753022,,
BLR,Belarus,linear,9591.885,5204.341672020257,4387.5433279797435,106,108,2,0.01851851851851849,1762.1407668753022,,
QAT,Qatar,linear,519.23267,-2.28371146669906,521.516381466699,106,108,2,0.01851851851851849,1762.1407668753022,,
ISR,Israel,linear,1356.6249,1737.010390566027,-380.3854905660269,106,108,2,0.01851851851851849,1762.1407668753022,,
MLT,Malta,linear,1495.4257,3005.429103777365,-1510.003403777365,106,108,2,0.01851851851851849,1762.1407668753022,,
HUN,Hungary,linear,4209.2827,4608.213209062591,-398.9305090625912,106,108,2,0.01851851851851849,1762.1407668753022,,
ARG,Argentina,linear,4112.5483,3150.478300684986,962.0699993150142,106,108,2,0.01851851851851849,1762.1407668753022,,
ARE,United Arab Emirates,linear,607.97754,-74.53644358730207,682.513983587302,106,108,2,0.01851851851851849,1762.1407668753022,,
KWT,Kuwait,linear,1601.9636,578.1041566678975,1023.8594433321025,106,108,2,0.01851851851851849,1762.1407668753022,,
POL,Poland,linear,4447.032,3895.5926322422306,551.4393677577696,106,108,2,0.01851851851851849,1762.1407668753022,,
GRC,Greece,linear,3676.7937,4587.337468115998,-910.5437681159974,106,108,2,0.01851851851851849,1762.1407668753022,,
OMN,Oman,linear,958.591,1187.1210917295352,-228.53009172953523,106,108,2,0.01851851851851849,1762.1407668753022,,
CRI,Costa Rica,linear,1545.6193,1020.2139774663107,525.4053225336894,106,108,2,0.01851851851851849,1762.1407668753022,,
BRN,Brunei Darussalam,linear,1141.6431,-1047.6159237792917,2189.259023779292,106,108,2,0.01851851851851849,1762.1407668753022,,
EST,Estonia,linear,3296.8997,4648.8430207925485,-1351.9433207925485,106,108,2,0.01851851851851849,1762.1407668753022,,
KOR,"Korea, Rep.",linear,1248.7174,509.69784596743693,739.0195540325631,106,108,2,0.01851851851851849,1762.1407668753022,,
LTU,Lithuania,linear,8358.042,5017.506070459891,3340.5359295401086,106,108,2,0.01851851851851849,1762.1407668753022,,
ATG,Antigua and Barbuda,linear,-654.30273,964.2071468828401,-1618.5098768828402,106,108,2,0.01851851851851849,1762.1407668753022,,
COL,Colombia,linear,3685.9177,2367.1983574874293,1318.7193425125706,106,108,2,0.01851851851851849,1762.1407668753022,,
KAZ,Kazakhstan,linear,4240.0146,4486.879936153944,-246.86533615394364,106,108,2,0.01851851851851849,1762.1407668753022,,
ROU,Romania,linear,5864.2363,4765.484985846074,1098.7513141539257,106,108,2,0.01851851851851849,1762.1407668753022,,
SMR,San Marino,linear,3935.886,4505.848816585831,-569.9628165858308,106,108,2,0.01851851851851849,1762.1407668753022,,
SYC,Seychelles,linear,-546.97345,-1076.750197381436,529.776747381436,106,108,2,0.01851851851851849,1762.1407668753022,,
RUS,Russian Federation,linear,8749.637,5167.32474200941,3582.3122579905903,106,108,2,0.01851851851851849,1762.1407668753022,,
CHL,Chile,linear,3120.594,2249.487338524522,871.1066614754782,106,108,2,0.01851851851851849,1762.1407668753022,,
TUR,Turkiye,linear,2705.4653,3889.195645824131,-1183.7303458241313,106,108,2,0.01851851851851849,1762.1407668753022,,
BRA,Brazil,linear,3766.584,3217.362156802597,549.2218431974029,106,108,2,0.01851851851851849,1762.1407668753022,,
SRB,Serbia,linear,8464.41,6519.193367006757,1945.2166329932425,106,108,2,0.01851851851851849,1762.1407668753022,,
MKD,North Macedonia,linear,7957.562,5362.108160147491,2595.453839852509,106,108,2,0.01851851851851849,1762.1407668753022,,
CYP,Cyprus,linear,1689.024,3004.8870462099385,-1315.8630462099386,106,108,2,0.01851851851851849,1762.1407668753022,,
BGR,Bulgaria,linear,10165.963,5915.896757265771,4250.066242734229,106,108,2,0.01851851851851849,1762.1407668753022,,
SGP,Singapore,linear,972.30634,-796.3773789648033,1768.6837189648031,106,108,2,0.01851851851851849,1762.1407668753022,,
LVA,Latvia,linear,5407.656,5814.61906765694,-406.96306765694044,106,108,2,0.01851851851851849,1762.1407668753022,,
JOR,Jordan,linear,1475.2865,1009.6980249674493,465.5884750325506,106,108,2,0.01851851851851849,1762.1407668753022,,
NIC,Nicaragua,linear,2660.4993,678.2925165294419,1982.206783470558,106,108,2,0.01851851851851849,1762.1407668753022,,
TUN,Tunisia,linear,2412.1658,1632.265986112771,779.8998138872291,106,108,2,0.01851851851851849,1762.1407668753022,,
IRN,"Iran, Islamic Rep.",linear,3064.1272,3531.9752386744826,-467.8480386744827,106,108,2,0.01851851851851849,1762.1407668753022,,
VCT,St. Vincent and the Grenadines,linear,1232.5092,3664.837102808406,-2432.327902808406,106,108,2,0.01851851851851849,1762.1407668753022,,
ALB,Albania,linear,5970.3384,4806.537965999281,1163.8004340007183,106,108,2,0.01851851851851849,1762.1407668753022,,
UZB,Uzbekistan,linear,1438.2266,2705.1544588535553,-1266.9278588535553,106,108,2,0.01851851851851849,1762.1407668753022,,
KNA,St. Kitts and Nevis,linear,4525.9116,1771.5067079653913,2754.404892034609,106,108,2,0.01851851851851849,1762.1407668753022,,
