iso3,country,bottleneck_block,bottleneck_probability,n_simulations,coverage_count,missing_count,missing_rate
SGP,Singapore,preparedness,0.0,1000,106,0,0.0
SGP,Singapore,vulnerability,0.0,1000,106,0,0.0
SGP,Singapore,equity_access,0.0,1000,106,0,0.0
LVA,Latvia,capacity,1.0,1000,106,0,0.0
LVA,Latvia,preparedness,0.0,1000,106,0,0.0
LVA,Latvia,vulnerability,0.0,1000,106,0,0.0
LVA,Latvia,equity_access,0.0,1000,106,0,0.0
JOR,Jordan,capacity,1.0,1000,106,0,0.0
JOR,Jordan,preparedness,0.0,1000,106,0,0.0
JOR,Jordan,vulnerability,0.0,1000,106,0,0.0
JOR,Jordan,equity_access,0.0,1000,106,0,0.0
NIC,Nicaragua,capacity,1.0,1000,106,0,0.0
NIC,Nicaragua,preparedness,0.0,1000,106,0,0.0
NIC,Nicaragua,vulnerability,0.0,1000,106,0,0.0
NIC,Nicaragua,equity_access,0.0,1000,106,0,0.0
TUN,Tunisia,capacity,1.0,1000,106,0,0.0
TUN,Tunisia,preparedness,0.0,1000,106,0,0.0
TUN,Tunisia,vulnerability,0.0,1000,106,0,0.0
TUN,Tunisia,equity_access,0.0,1000,106,0,0.0
IRN,"Iran, Islamic Rep.",capacity,1.0,1000,106,0,0.0
IRN,"Iran, Islamic Rep.",preparedness,0.0,1000,106,0,0.0
IRN,"Iran, Islamic Rep.",vulnerability,0.0,1000,106,0,0.0
IRN,"Iran, Islamic Rep.",equity_access,0.0,1000,106,0,0.0
VCT,St. Vincent and the Grenadines,capacity,1.0,1000,106,0,0.0
VCT,St. Vincent and the Grenadines,preparedness,0.0,1000,106,0,0.0
VCT,St. Vincent and the Grenadines,vulnerability,0.0,1000,106,0,0.0
VCT,St. Vincent and the Grenadines,equity_access,0.0,1000,106,0,0.0
ALB,Albania,capacity,1.0,1000,106,0,0.0
ALB,Albania,preparedness,0.0,1000,106,0,0.0
ALB,Albania,vulnerability,0.0,1000,106,0,0.0
ALB,Albania,equity_access,0.0,1000,106,0,0.0
UZB,Uzbekistan,capacity,1.0,1000,106,0,0.0
UZB,Uzbekistan,preparedness,0.0,1000,106,0,0.0
UZB,Uzbekistan,vulnerability,0.0,1000,106,0,0.0
UZB,Uzbekistan,equity_access,0.0,1000,106,0,0.0
KNA,St. Kitts and Nevis,capacity,1.0,1000,106,0,0.0
KNA,St. Kitts and Nevis,preparedness,0.0,1000,106,0,0.0
KNA,St. Kitts and Nevis,vulnerability,0.0,1000,106,0,0.0
KNA,St. Kitts and Nevis,equity_access,0.0,1000,106,0,0.0
ECU,Ecuador,capacity,1.0,1000,106,0,0.0
ECU,Ecuador,preparedness,0.0,1000,106,0,0.0
ECU,Ecuador,vulnerability,0.0,1000,106,0,0.0
ECU,Ecuador,equity_access,0.0,1000,106,0,0.0
BIH,Bosnia and Herzegovina,capacity,1.0,1000,106,0,0.0
BIH,Bosnia and Herzegovina,preparedness,0.0,1000,106,0,0.0
BIH,Bosnia and Herzegovina,vulnerability,0.0,1000,106,0,0.0
BIH,Bosnia and Herzegovina,equity_access,0.0,1000,106,0,0.0
PSE,West Bank and Gaza,capacity,1.0,1000,106,0,0.0
PSE,West Bank and Gaza,preparedness,0.0,1000,106,0,0.0
PSE,West Bank and Gaza,vulnerability,0.0,1000,106,0,0.0
PSE,West Bank and Gaza,equity_access,0.0,1000,106,0,0.0
BRB,Barbados,capacity,1.0,1000,106,0,0.0
BRB,Barbados,preparedness,0.0,1000,106,0,0.0
BRB,Barbados,vulnerability,0.0,1000,106,0,0.0
BRB,Barbados,equity_access,0.0,1000,106,0,0.0
THA,Thailand,capacity,1.0,1000,106,0,0.0
THA,Thailand,preparedness,0.0,1000,106,0,0.0
THA,Thailand,vulnerability,0.0,1000,106,0,0.0
