iso3,country,conversion_profile,peer_group_type,peer_group_value,block,country_block_score,peer_median_block_score,block_gap_country_minus_peer,negative_gap_is_bottleneck,n_peer_countries,n_validation_countries,expanded_feature_missing_rate
KGZ,Kyrgyz Republic,adaptive over-performers,same_capacity_quartile,Q2,preparedness,0.8719689879667554,0.9127751948572844,-0.04080620689052905,True,26,106,0.0
KGZ,Kyrgyz Republic,adaptive over-performers,same_income_group,Lower middle income,vulnerability,0.6767504291276911,0.6585748480252485,0.01817558110244266,True,13,106,0.0
KGZ,Kyrgyz Republic,adaptive over-performers,same_region,Europe & Central Asia,vulnerability,0.6767504291276911,0.7031982734362339,-0.026447844308542745,True,49,106,0.0
KGZ,Kyrgyz Republic,adaptive over-performers,same_capacity_quartile,Q2,vulnerability,0.6767504291276911,0.6964128128966902,-0.019662383768999092,True,26,106,0.0
KGZ,Kyrgyz Republic,adaptive over-performers,same_income_group,Lower middle income,equity_access,0.7201469829095438,0.7072929764830225,0.012854006426521347,True,13,106,0.0
KGZ,Kyrgyz Republic,adaptive over-performers,same_region,Europe & Central Asia,equity_access,0.7201469829095438,0.7530172216525302,-0.032870238742986335,True,49,106,0.0
KGZ,Kyrgyz Republic,adaptive over-performers,same_capacity_quartile,Q2,equity_access,0.7201469829095438,0.7224951049541598,-0.0023481220446159856,True,26,106,0.0
MYS,Malaysia,adaptive over-performers,same_income_group,Upper middle income,capacity,0.2291338827416733,0.3467191820439355,-0.11758529930226219,True,37,106,0.0384615384615384
MYS,Malaysia,adaptive over-performers,same_region,East Asia & Pacific,capacity,0.2291338827416733,0.4108830413712889,-0.1817491586296156,True,11,106,0.0384615384615384
MYS,Malaysia,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,capacity,0.2291338827416733,0.2638600782104646,-0.0347261954687913,True,27,106,0.0384615384615384
MYS,Malaysia,adaptive over-performers,same_income_group,Upper middle income,preparedness,0.9145985435053348,0.8513215977301716,0.06327694577516318,True,37,106,0.0384615384615384
MYS,Malaysia,adaptive over-performers,same_region,East Asia & Pacific,preparedness,0.9145985435053348,0.9193966862730744,-0.004798142767739599,True,11,106,0.0384615384615384
MYS,Malaysia,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,preparedness,0.9145985435053348,0.8258192258773593,0.08877931762797542,True,27,106,0.0384615384615384
MYS,Malaysia,adaptive over-performers,same_income_group,Upper middle income,vulnerability,0.7111663135976891,0.681467035750128,0.0296992778475611,True,37,106,0.0384615384615384
MYS,Malaysia,adaptive over-performers,same_region,East Asia & Pacific,vulnerability,0.7111663135976891,0.7014535847653254,0.009712728832363737,True,11,106,0.0384615384615384
MYS,Malaysia,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,vulnerability,0.7111663135976891,0.6415149075582738,0.06965140603941533,True,27,106,0.0384615384615384
MYS,Malaysia,adaptive over-performers,same_income_group,Upper middle income,equity_access,0.7278790190615761,0.729348274020286,-0.0014692549587098647,True,37,106,0.0384615384615384
MYS,Malaysia,adaptive over-performers,same_region,East Asia & Pacific,equity_access,0.7278790190615761,0.7695477133590953,-0.04166869429751918,True,11,106,0.0384615384615384
MYS,Malaysia,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,equity_access,0.7278790190615761,0.7061315471456461,0.021747471915930072,True,27,106,0.0384615384615384
CYP,Cyprus,adaptive over-performers,same_income_group,High income,capacity,0.4030870152886168,0.5973368179395688,-0.19424980265095204,True,56,106,0.0769230769230769
CYP,Cyprus,adaptive over-performers,same_region,Europe & Central Asia,capacity,0.4030870152886168,0.592121438040106,-0.18903442275148918,True,49,106,0.0769230769230769
CYP,Cyprus,adaptive over-performers,same_capacity_quartile,Q2,capacity,0.4030870152886168,0.3898693093215164,0.013217705967100368,True,26,106,0.0769230769230769
CYP,Cyprus,adaptive over-performers,same_income_group,High income,preparedness,0.9172025269884388,0.9369098011569197,-0.019707274168480837,True,56,106,0.0769230769230769
CYP,Cyprus,adaptive over-performers,same_region,Europe & Central Asia,preparedness,0.9172025269884388,0.9240148867420244,-0.006812359753585517,True,49,106,0.0769230769230769
CYP,Cyprus,adaptive over-performers,same_capacity_quartile,Q2,preparedness,0.9172025269884388,0.9127751948572844,0.004427332131154427,True,26,106,0.0769230769230769
CYP,Cyprus,adaptive over-performers,same_income_group,High income,vulnerability,0.8157477202878922,0.7274946021164743,0.0882531181714179,True,56,106,0.0769230769230769
CYP,Cyprus,adaptive over-performers,same_region,Europe & Central Asia,vulnerability,0.8157477202878922,0.7031982734362339,0.11254944685165835,True,49,106,0.0769230769230769
CYP,Cyprus,adaptive over-performers,same_capacity_quartile,Q2,vulnerability,0.8157477202878922,0.6964128128966902,0.119334907391202,True,26,106,0.0769230769230769
CYP,Cyprus,adaptive over-performers,same_income_group,High income,equity_access,0.6107792463189511,0.779996311641858,-0.16921706532290692,True,56,106,0.0769230769230769
CYP,Cyprus,adaptive over-performers,same_region,Europe & Central Asia,equity_access,0.6107792463189511,0.7530172216525302,-0.14223797533357907,True,49,106,0.0769230769230769
CYP,Cyprus,adaptive over-performers,same_capacity_quartile,Q2,equity_access,0.6107792463189511,0.7224951049541598,-0.11171585863520872,True,26,106,0.0769230769230769
SUR,Suriname,adaptive over-performers,same_income_group,Upper middle income,capacity,0.3039261044589958,0.3467191820439355,-0.042793077584939665,True,37,106,0.0
SUR,Suriname,adaptive over-performers,same_region,Latin America & Caribbean ,capacity,0.3039261044589958,0.3548721191849168,-0.050946014725920974,True,24,106,0.0
