iso3,country,region,income_group,score,rank,ranking_method,weighting_method,normalization_method,imputation_method,feature_missing_count,feature_missing_rate,n_countries_in_sample,n_indicators
HTI,Haiti,Latin America & Caribbean ,Lower middle income,0.17714502963464446,184,marcos,critic,robust_minmax,knn,0,0.0,193,15
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.1631133901849064,185,marcos,critic,robust_minmax,knn,0,0.0,193,15
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,0.15145588536799373,186,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
SSD,South Sudan,Sub-Saharan Africa ,Low income,0.14500993832738515,187,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
BEN,Benin,Sub-Saharan Africa ,Lower middle income,0.1382896288242741,188,marcos,critic,robust_minmax,knn,0,0.0,193,15
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,Low income,0.1180081049580785,189,marcos,critic,robust_minmax,knn,2,0.1333333333333333,193,15
CAF,Central African Republic,Sub-Saharan Africa ,Low income,0.09272930916567926,190,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,0.09000719950049034,191,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
TCD,Chad,Sub-Saharan Africa ,Low income,0.06382555715159428,192,marcos,critic,robust_minmax,knn,0,0.0,193,15
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,0.0,193,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.782890590689921,1,topsis,critic,robust_minmax,knn,0,0.0,193,15
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.7469607593583977,2,topsis,critic,robust_minmax,knn,0,0.0,193,15
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.73576774384076,3,topsis,critic,robust_minmax,knn,0,0.0,193,15
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.7348699569877318,4,topsis,critic,robust_minmax,knn,0,0.0,193,15
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.7315749042816007,5,topsis,critic,robust_minmax,knn,0,0.0,193,15
BRN,Brunei Darussalam,East Asia & Pacific,High income,0.7232942517936819,6,topsis,critic,robust_minmax,knn,0,0.0,193,15
MNG,Mongolia,East Asia & Pacific,Upper middle income,0.7056027162666978,7,topsis,critic,robust_minmax,knn,0,0.0,193,15
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.7007421895631034,8,topsis,critic,robust_minmax,knn,0,0.0,193,15
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,0.6877345834744257,9,topsis,critic,robust_minmax,knn,0,0.0,193,15
