iso3,country,conversion_profile,conversion_efficiency_zscore,realized_resilience_gap,main_bottleneck_block,evidence_variant,n,coverage_count,missing_count,missing_rate,source_provenance
ARM,Armenia,uncertain / data-limited systems,-1.948283078005972,3131.2423552564387,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
LTU,Lithuania,uncertain / data-limited systems,-2.3127216878494723,3716.960942003434,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
RUS,Russian Federation,uncertain / data-limited systems,-2.470496319302296,3970.5332355613527,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
BGR,Bulgaria,uncertain / data-limited systems,-2.9737986660169526,4779.430896955538,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
NOR,Norway,effective converters,0.9863309150549854,-1.4161352603262205,equity_access,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
DEU,Germany,effective converters,0.4053318631961518,-0.5819595987963078,vulnerability,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
SWE,Sweden,effective converters,0.6576016849275425,-0.9441587190075164,vulnerability,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
JPN,Japan,effective converters,0.1746946338489361,-0.2508197066594689,vulnerability,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
FRA,France,effective converters,0.5002746572702459,-0.718274740449067,vulnerability,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
AUS,Australia,effective converters,1.339657630402273,-1.923427906618916,equity_access,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
DNK,Denmark,effective converters,0.8876523687444263,-1.2744564720664746,vulnerability,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
BEL,Belgium,capacity under-realizers,-0.0361133131454318,0.0518500792501239,vulnerability,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
AUT,Austria,effective converters,0.5480089918046034,-0.7868098266260453,equity_access,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
ISL,Iceland,effective converters,0.7630891949469507,-1.095613550426008,capacity,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
FIN,Finland,effective converters,0.6721732810915942,-0.9650800455239804,equity_access,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
LUX,Luxembourg,effective converters,0.7039553913289583,-1.010711553436512,capacity,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
CZE,Czechia,capacity under-realizers,-0.4119476013950492,0.5914582163429587,vulnerability,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
USA,United States,capacity under-realizers,-0.7822937833228586,1.1231867455312818,equity_access,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
SVN,Slovenia,effective converters,0.3361733457748218,-0.4826645107306855,capacity,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
NZL,New Zealand,effective converters,0.8920878762778234,-1.2808247998960205,capacity,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
CHE,Switzerland,effective converters,0.3627266147332633,-0.5207886533232133,equity_access,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
IRL,Ireland,effective converters,0.8821842500030622,-1.2666055615463834,capacity,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
CAN,Canada,effective converters,0.4143537065244286,-0.5949128077602583,capacity,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
NLD,Netherlands,effective converters,0.3039845448287901,-0.436449092242301,vulnerability,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
MDV,Maldives,uncertain / data-limited systems,-0.276009256460537,0.3962832699291385,capacity,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
GBR,United Kingdom,effective converters,0.2196326361731358,-0.3153399286747884,capacity,life_expectancy_loss,186,186,7,0.0362694300518134,results/tables/stage4_life_expectancy_conversion_profiles.csv
