iso3,country,region,income_group,potential_capacity_score,potential_capacity_rank_point,median_potential_capacity_rank,potential_rank_p05,potential_rank_p95,top_quartile_probability,bottom_quartile_probability,method_disagreement_index,capacity_score,preparedness_score,vulnerability_score,equity_access_score,expanded_feature_missing_count,expanded_feature_missing_rate,n_valid_pipelines,n_countries_in_sample,n_indicators
IRL,Ireland,Europe & Central Asia,High income,0.8006104333369206,19,15.0,7.0,17.049999999999997,1.0,0.0,0.0523437499999999,0.694201995616675,0.9240148867420244,0.8315798802336001,0.7526449707553831,1,0.0384615384615384,60,193,26
CAN,Canada,North America,High income,0.7994145925547239,20,20.0,17.0,27.0,1.0,0.0,0.0520833333333333,0.751060450017869,0.8882866246726704,0.7919311320519059,0.7663801634764503,1,0.0384615384615384,60,193,26
NLD,Netherlands,Europe & Central Asia,High income,0.7966718819180485,21,19.0,15.0,29.69999999999996,1.0,0.0,0.0765624999999998,0.7946422085942241,0.9332033521228416,0.6649056239430973,0.7939363430120309,1,0.0384615384615384,60,193,26
MDV,Maldives,South Asia,Upper middle income,0.7861726319518041,22,23.5,1.0,40.14999999999999,1.0,0.0,0.2039062499999999,0.5428082750870333,0.9702682370087844,0.7980405859266773,0.8335734297847213,0,0.0,60,193,26
GBR,United Kingdom,Europe & Central Asia,High income,0.7855584803681768,23,23.0,20.0,31.399999999999977,1.0,0.0,0.0593749999999998,0.7043249696725941,0.9193555687134758,0.7163281258832328,0.8022252572034044,1,0.0384615384615384,60,193,26
ESP,Spain,Europe & Central Asia,High income,0.7786480255688792,24,29.0,24.0,42.0,1.0,0.0,0.09375,0.6449209188532831,0.9550424082252345,0.7745812685503448,0.7400475066466544,1,0.0384615384615384,60,193,26
SVK,Slovak Republic,Europe & Central Asia,High income,0.7754658787366955,25,29.0,15.0,33.099999999999994,1.0,0.0,0.0942708333333333,0.5938029528903954,0.962316136506726,0.7173988313513748,0.8283455941982859,1,0.0384615384615384,60,193,26
PRT,Portugal,Europe & Central Asia,High income,0.773482753376958,26,26.0,25.0,36.49999999999997,1.0,0.0,0.0598958333333331,0.670886260568819,0.9601730266700844,0.7702644180338383,0.6926073082350904,1,0.0384615384615384,60,193,26
HRV,Croatia,Europe & Central Asia,High income,0.7692249571651889,27,30.0,22.0,35.099999999999994,1.0,0.0,0.0682291666666666,0.5929113746534783,0.9152107996414532,0.7116733195238027,0.8571043348420216,1,0.0384615384615384,60,193,26
AND,Andorra,Europe & Central Asia,High income,0.7685882923202738,28,28.0,20.95,36.14999999999999,1.0,0.0,0.0791666666666666,0.5645719971529731,0.9776348192598014,0.7390831156505907,0.79306323721773,4,0.1538461538461538,60,193,26
ITA,Italy,Europe & Central Asia,High income,0.7638932900906541,29,30.0,25.95,47.24999999999999,0.95,0.0,0.1109374999999999,0.6492379606677942,0.908578032959132,0.7573050759114517,0.7404520908242386,1,0.0384615384615384,60,193,26
URY,Uruguay,Latin America & Caribbean ,High income,0.7597407882153921,30,36.0,31.0,54.0,0.9,0.0,0.1197916666666666,0.6041402553582664,0.9193650921392078,0.6871293162808386,0.828328489083256,2,0.0769230769230769,60,193,26
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.7555719842796018,31,42.5,25.0,52.0,0.9,0.0,0.140625,0.4502722868091502,0.9729502025039536,0.729829034851629,0.8692364129536747,0,0.0,60,193,26
BLR,Belarus,Europe & Central Asia,Upper middle income,0.751985191892442,32,34.0,26.0,43.0,1.0,0.0,0.0885416666666666,0.6506495746089037,0.9549718293872288,0.6122043999499703,0.7901149636236653,2,0.0769230769230769,60,193,26
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.746674096402051,33,48.5,31.85,68.19999999999999,0.5333333333333333,0.0,0.1893229166666666,0.3429346613064137,0.9774170852937168,0.7087091624784967,0.9576354765295764,0,0.0,60,193,26
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.7458520258711318,34,39.0,33.0,51.29999999999998,0.9333333333333332,0.0,0.0953124999999999,0.5279205804875065,0.9666844126236896,0.7264596774701316,0.7623434329031993,2,0.0769230769230769,60,193,26
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.7422932540057879,35,41.5,25.95,100.15,0.8,0.0,0.3864583333333333,0.6949066120095724,0.9452842452889392,0.64959822247046,0.6793839362541803,1,0.0384615384615384,60,193,26
HUN,Hungary,Europe & Central Asia,High income,0.7401533362116283,36,44.0,37.0,64.0,0.7833333333333333,0.0,0.140625,0.592121438040106,0.9848619247385212,0.6280352282588941,0.7555947538089919,2,0.0769230769230769,60,193,26
ARG,Argentina,Latin America & Caribbean ,Upper middle income,0.7394775181902676,37,37.0,33.0,66.0,0.8,0.0,0.171875,0.6546176521084986,0.8513215977301716,0.7004171361212989,0.7515536868011014,1,0.0384615384615384,60,193,26
