iso3,country,n_bootstrap,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample,conversion_efficiency_mean,conversion_efficiency_std,conversion_efficiency_ci_low,conversion_efficiency_ci_high,probability_under_realizer,probability_over_performer,probability_data_limited_uncertain,profile_stability_score
THA,Thailand,1000,106,87,0.4507772020725389,0.6120065494034835,0.13584526720761078,0.35255438525507704,0.8784054737433102,0.0,0.0,1.0,1.0
MDA,Moldova,1000,106,87,0.4507772020725389,-0.10168263646752014,0.21343050510295344,-0.5153296506464999,0.29967179240373015,0.0,0.0,1.0,1.0
PAN,Panama,1000,106,87,0.4507772020725389,-0.13425074502524115,0.25869647461224077,-0.6093894043705538,0.36117902889360604,0.0,0.318,0.0,0.682
GEO,Georgia,1000,106,87,0.4507772020725389,-0.9682047661335164,0.17165269667222136,-1.289011323815649,-0.6401984142561127,0.0,0.0,1.0,1.0
KGZ,Kyrgyz Republic,1000,106,87,0.4507772020725389,0.6422021032584924,0.23291701513722435,0.24260218788997454,1.1784284447748523,0.0,1.0,0.0,1.0
DZA,Algeria,1000,106,87,0.4507772020725389,-0.03708810581948135,0.19663408499691648,-0.4546107075665642,0.3245972427435784,0.0,0.443,0.0,0.557
SLV,El Salvador,1000,106,87,0.4507772020725389,1.5671006267598222,0.255113210049574,1.1157520718472707,2.1138103789490583,0.0,1.0,0.0,1.0
MNE,Montenegro,1000,106,87,0.4507772020725389,-0.11817077046622591,0.1555110448351859,-0.4502681101664553,0.1919763894317566,0.0,0.0,1.0,1.0
BLZ,Belize,1000,106,87,0.4507772020725389,0.646504125477915,0.18710281978971727,0.2590329004906316,0.9952914794627472,0.0,0.0,1.0,1.0
MYS,Malaysia,1000,106,87,0.4507772020725389,0.5862103019609085,0.15309089416799807,0.26643787489593607,0.8882293126113749,0.0,1.0,0.0,1.0
TJK,Tajikistan,1000,106,87,0.4507772020725389,0.8753142958003662,0.28449845213316444,0.40397347726938054,1.5386814081547853,0.0,1.0,0.0,1.0
MUS,Mauritius,1000,106,87,0.4507772020725389,0.5960168463922679,0.19050046990001762,0.23373068325017066,0.9708012090517726,0.0,0.0,1.0,1.0
ARM,Armenia,1000,106,87,0.4507772020725389,-1.8947445602361688,0.14851027961244576,-2.158577183847331,-1.5894174345208478,0.0,0.0,1.0,1.0
MEX,Mexico,1000,106,87,0.4507772020725389,-1.4598389344272322,0.1550218083291394,-1.7469204572375405,-1.1439537556836055,0.0,0.0,0.0,1.0
BHS,"Bahamas, The",1000,106,87,0.4507772020725389,0.3455348358250944,0.21819475089365106,-0.04090753260066939,0.813201011253992,0.0,0.943,0.0,0.943
BTN,Bhutan,1000,106,87,0.4507772020725389,0.9603488359047065,0.2320016664879233,0.5338325808440879,1.4266555418097764,0.0,0.0,1.0,1.0
JAM,Jamaica,1000,106,87,0.4507772020725389,0.643857827235261,0.2160959566085916,0.2536803881570618,1.0801908952572619,0.0,0.997,0.0,0.997
LBN,Lebanon,1000,106,87,0.4507772020725389,-0.28939175760461183,0.19474674461861252,-0.6776331003611485,0.08977324553123299,0.0,0.071,0.0,0.929
PRY,Paraguay,1000,106,87,0.4507772020725389,-0.6530525805076638,0.1852026181897189,-1.0363604191803184,-0.30644757616437773,0.0,0.0,0.0,1.0
FJI,Fiji,1000,106,87,0.4507772020725389,1.0044805207747807,0.2815949186918771,0.4661327787635662,1.5769745515885052,0.0,1.0,0.0,1.0
PER,Peru,1000,106,87,0.4507772020725389,-1.3656658607699201,0.16468499514965657,-1.6845271283577061,-1.0395970638457153,0.0,0.0,0.0,1.0
CPV,Cabo Verde,1000,106,87,0.4507772020725389,0.7380100408397747,0.19907401547256726,0.36718661783009515,1.1618498036849871,0.0,1.0,0.0,1.0
MNG,Mongolia,1000,106,87,0.4507772020725389,2.418917430951037,0.4098912088527219,1.6512994699080343,3.2228075109870584,0.0,1.0,0.0,1.0
SUR,Suriname,1000,106,87,0.4507772020725389,0.4790596031824573,0.2923302506838801,-0.05314777624638004,1.1324809775744387,0.0,0.961,0.0,0.961
EGY,"Egypt, Arab Rep.",1000,106,87,0.4507772020725389,-0.20540399660943848,0.21424530076362827,-0.5990345677779595,0.25010137235737373,0.0,0.158,0.0,0.842
AZE,Azerbaijan,1000,106,87,0.4507772020725389,0.19235587843705038,0.18890063500609175,-0.19886223304473036,0.5559952354377783,0.0,0.848,0.0,0.848
UKR,Ukraine,1000,106,87,0.4507772020725389,1.0676452419771092,0.25093988135626216,0.5697275781835444,1.567643654033663,0.0,0.0,1.0,1.0
DOM,Dominican Republic,1000,106,87,0.4507772020725389,1.452545626969258,0.1937051960485634,1.0742571435283093,1.8424002034596318,0.0,1.0,0.0,1.0
BOL,Bolivia,1000,106,87,0.4507772020725389,-1.2398630116737885,0.28178104607726706,-1.7146621914767306,-0.6510953034568192,0.0,0.0,0.0,1.0
GTM,Guatemala,1000,106,87,0.4507772020725389,0.3065956826293749,0.2072823465748981,-0.10123712625132533,0.7236067687188281,0.0,0.931,0.0,0.931
PHL,Philippines,1000,106,87,0.4507772020725389,0.30935400559737475,0.25786005370129483,-0.16049024531766293,0.8240212935296665,0.0,0.887,0.0,0.887
ZAF,South Africa,1000,106,87,0.4507772020725389,-0.03334282751739458,0.38956020541525166,-0.6666423005121068,0.8325189908532811,0.0,0.0,1.0,1.0
NAM,Namibia,1000,106,87,0.4507772020725389,1.6960619602726874,0.5452006184049668,0.769854132001077,2.8409667850759988,0.0,1.0,0.0,1.0
