iso3,country,region,income_group,conversion_profile,profile_rule,potential_capacity_score,observed_shock_burden,predicted_shock_burden,realized_resilience_gap,conversion_efficiency_zscore,conversion_efficiency_percentile,capacity_score,preparedness_score,vulnerability_score,equity_access_score,method_disagreement_index,expanded_feature_missing_rate,n_validation_countries,profile_n,profile_missing_rate_mean
SWE,Sweden,Europe & Central Asia,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8538659065665202,1389.8391,3136.7813567587964,-1746.9422567587965,1.0869609091047154,0.32075471698113206,0.8642630286716789,0.9787664702575456,0.7824609132483888,0.7899732140884674,0.0520833333333333,0.0384615384615384,106,20,0.0538461538461538
ISL,Iceland,Europe & Central Asia,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8197837824330648,1134.6113,2761.7517687546424,-1627.1404687546424,1.0124193151295544,0.18867924528301888,0.7553247390699022,0.91199171686747,0.8111782215564786,0.800640452238409,0.0572916666666666,0.0384615384615384,106,20,0.0538461538461538
NOR,Norway,Europe & Central Asia,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8610700537740054,1072.0009,2489.43297920569,-1417.4320792056901,0.8819371421389405,0.1509433962264151,0.8893379752351854,0.962615262387194,0.811761696495954,0.7805652809776883,0.0104166666666666,0.0384615384615384,106,20,0.0538461538461538
FRA,France,Europe & Central Asia,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8403236132618811,1838.9587,3022.6706781782536,-1183.7119781782537,0.7365146975756199,0.08490566037735847,0.8816586691752235,0.9149891975859356,0.7485342291560318,0.8161123571303338,0.05234375,0.0384615384615384,106,20,0.0538461538461538
DEU,Germany,Europe & Central Asia,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8582878738042546,2179.8662,3168.4079074236597,-988.5417074236598,0.615078253921651,0.15094339622641506,0.9836246709352092,0.938569393744255,0.7063349549289141,0.8046224756086403,0.0213541666666666,0.0384615384615384,106,20,0.0538461538461538
CAN,Canada,North America,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7994145925547239,1420.5111,2348.4527926154033,-927.9416926154033,0.5773724585910407,-0.009433962264150941,0.751060450017869,0.8882866246726704,0.7919311320519059,0.7663801634764503,0.0520833333333333,0.0384615384615384,106,20,0.0538461538461538
AUS,Australia,East Asia & Pacific,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8368027626289708,927.5937,1794.7921784411287,-867.1984784411287,0.5395775635134479,0.056603773584905676,0.8291484874562962,0.9423188888894608,0.806195960811031,0.7695477133590953,0.0627604166666666,0.0384615384615384,106,20,0.0538461538461538
NLD,Netherlands,Europe & Central Asia,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7966718819180485,2329.8596,3111.9890693963334,-782.1294693963337,0.48664697176078947,0.047169811320754707,0.7946422085942241,0.9332033521228416,0.6649056239430973,0.7939363430120309,0.0765624999999998,0.0384615384615384,106,20,0.0538461538461538
URY,Uruguay,Latin America & Caribbean ,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7597407882153921,2126.0981,2841.744167258217,-715.646067258217,0.4452804875803113,-0.05660377358490565,0.6041402553582664,0.9193650921392078,0.6871293162808386,0.828328489083256,0.1197916666666666,0.0769230769230769,106,20,0.0538461538461538
AND,Andorra,Europe & Central Asia,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7685882923202738,1773.4039,2427.9327117447538,-654.5288117447537,0.40725286110446285,-0.09433962264150947,0.5645719971529731,0.9776348192598014,0.7390831156505907,0.79306323721773,0.0791666666666666,0.1538461538461538,106,20,0.0538461538461538
CHE,Switzerland,Europe & Central Asia,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.803058382240651,2020.4288,2650.108662849276,-629.6798628492759,0.39179165397112686,-0.0566037735849057,0.8352090043731014,0.9483929944940565,0.7646785951566378,0.6639529349388084,0.1825520833333333,0.0384615384615384,106,20,0.0538461538461538
BEL,Belgium,Europe & Central Asia,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8308187258687971,2334.5127,2927.5877931260566,-593.0750931260563,0.3690158846965657,-0.05660377358490565,0.9142151453801022,0.9679362773203304,0.6881062591222258,0.7530172216525302,0.1007812499999999,0.0384615384615384,106,20,0.0538461538461538
KOR,"Korea, Rep.",East Asia & Pacific,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7256044338064565,1248.7174,1656.5742160619966,-407.8568160619966,0.2537716480645608,-0.07547169811320756,0.5926042318721941,0.937626831948221,0.6950238954767094,0.6771627759287008,0.2104166666666662,0.0769230769230769,106,20,0.0538461538461538
IRL,Ireland,Europe & Central Asia,High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8006104333369206,1580.8341,1868.1496445102425,-287.3155445102425,0.17876994173820018,-0.1132075471698113,0.694201995616675,0.9240148867420244,0.8315798802336001,0.7526449707553831,0.0523437499999999,0.0384615384615384,106,20,0.0538461538461538
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,effective converters,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7458520258711318,1356.6249,1429.2856722525914,-72.66077225259141,0.04521009138015997,-0.14150943396226415,0.5279205804875065,0.9666844126236896,0.7264596774701316,0.7623434329031993,0.0953124999999999,0.0769230769230769,106,20,0.0538461538461538
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,structurally vulnerable systems,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6490773240471281,2952.565,2911.11908419295,41.445915807049914,-0.025787967604545707,-0.17924528301886788,0.2542673301460795,0.8443272353045255,0.7553194495008495,0.7423952812370581,0.1796875,0.0,106,16,0.024038461538461516
PAN,Panama,Latin America & Caribbean ,High income,structurally vulnerable systems,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6543250217256888,1724.4185,1528.640239910675,195.77826008932493,-0.12181473929450747,-0.23584905660377356,0.3766516033544161,0.8106900404600847,0.7907396443352344,0.6392187987530201,0.1044270833333333,0.0384615384615384,106,16,0.024038461538461516
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,structurally vulnerable systems,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6716950825288099,3064.1272,2845.2194563655967,218.90774363440323,-0.13620608186121952,-0.2264150943396226,0.2899006188927754,0.979555809138539,0.7206501324705947,0.6966737696133306,0.1828124999999999,0.0769230769230769,106,16,0.024038461538461516
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,structurally vulnerable systems,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.5749914738003827,2995.015,2595.8350728984283,399.1799271015716,-0.24837282101338848,-0.2830188679245283,0.1425905407592108,0.9368700462464432,0.5748929504998724,0.6456123576960046,0.0677083333333333,0.0,106,16,0.024038461538461516
