iso3,country,profile,profile_probability,n_simulations,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample
CYP,Cyprus,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
BGR,Bulgaria,effective converters,0.0,1000,106,87,0.4507772020725389
BGR,Bulgaria,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
BGR,Bulgaria,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
BGR,Bulgaria,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
BGR,Bulgaria,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
SGP,Singapore,effective converters,0.0,1000,106,87,0.4507772020725389
SGP,Singapore,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
SGP,Singapore,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
SGP,Singapore,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
SGP,Singapore,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
LVA,Latvia,effective converters,0.0,1000,106,87,0.4507772020725389
LVA,Latvia,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
LVA,Latvia,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
LVA,Latvia,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
LVA,Latvia,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
JOR,Jordan,effective converters,0.0,1000,106,87,0.4507772020725389
JOR,Jordan,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
JOR,Jordan,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
JOR,Jordan,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
JOR,Jordan,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
NIC,Nicaragua,effective converters,0.0,1000,106,87,0.4507772020725389
NIC,Nicaragua,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
NIC,Nicaragua,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
NIC,Nicaragua,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
NIC,Nicaragua,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
TUN,Tunisia,effective converters,0.0,1000,106,87,0.4507772020725389
TUN,Tunisia,capacity under-realizers,0.339,1000,106,87,0.4507772020725389
TUN,Tunisia,adaptive over-performers,0.021,1000,106,87,0.4507772020725389
TUN,Tunisia,structurally vulnerable systems,0.64,1000,106,87,0.4507772020725389
TUN,Tunisia,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
IRN,"Iran, Islamic Rep.",effective converters,0.0,1000,106,87,0.4507772020725389
IRN,"Iran, Islamic Rep.",capacity under-realizers,0.29,1000,106,87,0.4507772020725389
IRN,"Iran, Islamic Rep.",adaptive over-performers,0.212,1000,106,87,0.4507772020725389
IRN,"Iran, Islamic Rep.",structurally vulnerable systems,0.498,1000,106,87,0.4507772020725389
IRN,"Iran, Islamic Rep.",uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
VCT,St. Vincent and the Grenadines,effective converters,0.259,1000,106,87,0.4507772020725389
VCT,St. Vincent and the Grenadines,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
VCT,St. Vincent and the Grenadines,adaptive over-performers,0.741,1000,106,87,0.4507772020725389
VCT,St. Vincent and the Grenadines,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
VCT,St. Vincent and the Grenadines,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
ALB,Albania,effective converters,0.0,1000,106,87,0.4507772020725389
ALB,Albania,capacity under-realizers,0.265,1000,106,87,0.4507772020725389
ALB,Albania,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
ALB,Albania,structurally vulnerable systems,0.735,1000,106,87,0.4507772020725389
ALB,Albania,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
UZB,Uzbekistan,effective converters,0.212,1000,106,87,0.4507772020725389
UZB,Uzbekistan,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
UZB,Uzbekistan,adaptive over-performers,0.788,1000,106,87,0.4507772020725389
UZB,Uzbekistan,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
UZB,Uzbekistan,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
KNA,St. Kitts and Nevis,effective converters,0.0,1000,106,87,0.4507772020725389
KNA,St. Kitts and Nevis,capacity under-realizers,0.204,1000,106,87,0.4507772020725389
KNA,St. Kitts and Nevis,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
KNA,St. Kitts and Nevis,structurally vulnerable systems,0.796,1000,106,87,0.4507772020725389
KNA,St. Kitts and Nevis,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
ECU,Ecuador,effective converters,0.0,1000,106,87,0.4507772020725389
ECU,Ecuador,capacity under-realizers,0.239,1000,106,87,0.4507772020725389
ECU,Ecuador,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
ECU,Ecuador,structurally vulnerable systems,0.761,1000,106,87,0.4507772020725389
ECU,Ecuador,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
BIH,Bosnia and Herzegovina,effective converters,0.0,1000,106,87,0.4507772020725389
