iso3,country,region,income_group,population_total,gdp_per_capita_ppp,expanded_feature_missing_count,expanded_feature_missing_rate,capacity_score,capacity_rank,capacity_n_indicators,capacity_missing_rate,equity_access_score,equity_access_rank,equity_access_n_indicators,equity_access_missing_rate,preparedness_score,preparedness_rank,preparedness_n_indicators,preparedness_missing_rate,vulnerability_score,vulnerability_rank,vulnerability_n_indicators,vulnerability_missing_rate,full_potential_capacity_score,full_potential_capacity_rank,n_countries_in_expanded_sample,n_expanded_indicators
HND,Honduras,Latin America & Caribbean ,Lower middle income,9589333.0,6064.386214592932,0,0.0,0.16620249630725922,136,6,0.0,0.6416318005328481,120,7,0.0,0.9044145349804646,79,4,0.0,0.6889332074130756,70,9,0.0,0.600295509808412,115,193,26
VNM,Viet Nam,East Asia & Pacific,Lower middle income,95082288.6,10369.453719753405,0,0.0,0.1832401747811078,130,6,0.0,0.6960810513688466,95,7,0.0,0.8161335993963043,114,4,0.0,0.6903622627948471,67,9,0.0,0.5964542720852765,116,193,26
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,35425619.0,8434.13671875,1,0.0384615384615384,0.1294196547620839,152,6,0.0,0.6014124213314006,130,7,0.14285714285714285,0.9488915513110034,36,4,0.0,0.6876315193950658,73,9,0.0,0.5918387866998884,117,193,26
WSM,Samoa,East Asia & Pacific,Upper middle income,205611.6,6815.449412264299,2,0.0769230769230769,0.24565919931649524,115,6,0.16666666666666666,0.810088515893456,29,7,0.0,0.6134292279437159,147,4,0.25,0.6798764898784216,80,9,0.0,0.5872633582580222,118,193,26
SUR,Suriname,Latin America & Caribbean ,Upper middle income,593675.6,22650.745438631515,0,0.0,0.30392610445899587,100,6,0.0,0.7863517001121891,44,7,0.0,0.6108436046278103,148,4,0.0,0.6270112389349571,101,9,0.0,0.5820331620334881,119,193,26
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,103634648.0,14137.27407826758,0,0.0,0.14259054075921085,148,6,0.0,0.6456123576960046,117,7,0.0,0.9368700462464433,50,4,0.0,0.5748929504998724,133,9,0.0,0.5749914738003827,120,193,26
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,9845048.0,20008.70243777982,0,0.0,0.34725796154217975,84,6,0.0,0.5608634127103203,138,7,0.0,0.7015549952002419,138,4,0.0,0.681467035750128,79,9,0.0,0.5727858513007176,121,193,26
UKR,Ukraine,Europe & Central Asia,Upper middle income,45400826.8,16437.284375,3,0.1153846153846153,0.4441733441292559,61,6,0.3333333333333333,0.7145471073554772,88,7,0.0,0.5402916603346692,157,4,0.25,0.5866085877199805,129,9,0.0,0.5714051748848457,122,193,26
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,10665839.6,19711.63431957104,0,0.0,0.18330183793923824,129,6,0.0,0.7119854629827318,90,7,0.0,0.7568322344837783,130,4,0.0,0.6245700681687736,103,9,0.0,0.5691724008936305,123,193,26
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,46466.0,5361.271754049651,4,0.1538461538461538,0.4722536138840991,59,6,0.3333333333333333,0.7645002839697274,58,7,0.0,0.5022291706934692,167,4,0.25,0.5302010852570538,147,9,0.1111111111111111,0.5672960384510873,124,193,26
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,11343813.2,11639.82968361802,0,0.0,0.2527398762657427,114,6,0.0,0.6207281483770031,125,7,0.0,0.7729294989041062,124,4,0.0,0.619314310713776,107,9,0.0,0.566427958565157,125,193,26
KIR,Kiribati,East Asia & Pacific,Lower middle income,120314.6,2801.1062650944664,2,0.0769230769230769,0.4386351161119455,62,6,0.16666666666666666,0.6581239917293048,113,7,0.0,0.5847467409745934,152,4,0.25,0.5255845965845357,152,9,0.0,0.5517726113500948,126,193,26
VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,30130141.0,,1,0.0384615384615384,0.09953291925621748,162,6,0.0,0.7322918783318013,75,7,0.14285714285714285,0.7297257197008843,135,4,0.0,0.6400220801570267,95,9,0.0,0.5503931493614824,127,193,26
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,206905.8,5499.34453333176,1,0.0384615384615384,0.22819451394638487,121,6,0.0,0.5406543326481204,144,7,0.0,0.8569850950422522,99,4,0.25,0.5472049288752009,143,9,0.0,0.5432597176279896,128,193,26
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,16551469.6,11064.55209866442,0,0.0,0.13812420553502852,150,6,0.0,0.5462334971646373,142,7,0.0,0.8197473484421942,113,4,0.0,0.6661923964367509,85,9,0.0,0.5425743618946528,129,193,26
VUT,Vanuatu,East Asia & Pacific,Lower middle income,278787.8,3443.084114638334,1,0.0384615384615384,0.10916451104237117,160,6,0.16666666666666666,0.6088418407629584,127,7,0.0,0.7539178804659304,131,4,0.0,0.6888072958568461,71,9,0.0,0.5401828820320265,130,193,26
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,684942.8,2686.271509032424,1,0.0384615384615384,0.16437973175255424,138,6,0.16666666666666666,0.551646139363667,140,7,0.0,0.7713716073919891,126,4,0.0,0.6719613155185465,82,9,0.0,0.5398396985066892,131,193,26
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,39365062.0,14463.24213804788,0,0.0,0.12306820218311254,154,6,0.0,0.6950256145198255,96,7,0.0,0.7447388813460643,133,4,0.0,0.5954737713571951,124,9,0.0,0.5395766173515494,132,193,26
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,109492.6,3804.3655376621696,3,0.1153846153846153,0.30520583876517676,99,6,0.16666666666666666,0.6925822665758978,98,7,0.14285714285714285,0.5598279910743895,154,4,0.25,0.5624547285242376,139,9,0.0,0.5300177062349254,133,193,26
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,2267204.0,17236.895601310778,1,0.0384615384615384,0.2831414738377958,105,6,0.0,0.7475152396715028,66,7,0.14285714285714285,0.5146708482962801,162,4,0.0,0.538222136240808,145,9,0.0,0.5208874245115966,134,193,26
IDN,Indonesia,East Asia & Pacific,Upper middle income,267242910.4,11801.18319763254,0,0.0,0.07966363814673612,175,6,0.0,0.6570705603077445,114,7,0.0,0.6623559046159495,142,4,0.0,0.6187233532347418,108,9,0.0,0.5044533640762929,135,193,26
